Season,Season,Name,Level,Age,PA,BB%,K%,ISO,GB%,wRC+
175,2025,Robert Hipwell,A,22,429,15.60%,31.20%,0.209,34.00%,126
176,2025,Eduarlin Tejeda,DSL,20,190,19.50%,15.80%,0.091,57.10%,126
177,2025,Harry Ford,AAA,22,458,16.20%,19.20%,0.176,46.30%,125
178,2025,Lisandro Sanchez,DSL,17,191,11.50%,28.30%,0.15,50.50%,125
179,2025,Francisco Urbaez,AAA,27,411,9.20%,9.70%,0.15,43.90%,125
180,2025,Hector Osorio,A,20,358,15.40%,12.00%,0.088,31.90%,125
181,2025,Nick Cimillo,AA,25,455,9.70%,21.30%,0.234,35.30%,125
182,2025,Leni Done,DSL,18,175,11.40%,18.30%,0.177,46.20%,125
183,2025,Cameron Leary,A,23,422,15.60%,23.20%,0.166,41.40%,125
184,2025,Colt Emerson,A+,19,412,13.10%,16.50%,0.173,49.80%,125
185,2025,Rosnel Alarcon,DSL,17,195,11.30%,13.30%,0.09,61.20%,125
186,2025,Estivenzon Montero,DSL,18,185,13.50%,28.10%,0.223,36.00%,124
187,2025,Eddie Micheletti Jr.,A+,23,464,16.80%,15.10%,0.19,37.00%,124
188,2025,Jace Jung,AAA,24,495,15.80%,25.30%,0.194,33.80%,124
189,2025,Miguel Hernández,DSL,17,169,14.80%,20.70%,0.163,43.50%,124
190,2025,Rikuu Nishida,AA,24,502,14.90%,13.70%,0.035,64.50%,124
191,2025,Enyervert Perez,CPX,19,215,10.20%,25.60%,0.178,46.80%,124
192,2025,Blake Burke,A+,22,408,12.00%,23.00%,0.114,52.40%,124
193,2025,Dariel Ramon,CPX,19,200,17.50%,14.50%,0.071,50.90%,124
194,2025,Keiner Delgado,A+,21,514,14.20%,21.80%,0.146,43.00%,124
195,2025,Jeral Perez,A+,20,537,8.20%,20.90%,0.204,37.60%,124
196,2025,Antonis Macias,A,20,401,17.70%,16.70%,0.067,48.00%,124
197,2025,Yoffry Solano,CPX,20,159,11.30%,16.40%,0.096,50.00%,124
198,2025,Yorman Licourt,CPX,21,225,15.60%,29.80%,0.198,40.00%,123
199,2025,Manni Ramirez,DSL,18,167,12.00%,25.10%,0.232,46.70%,123
200,2025,Cris Rodriguez,DSL,17,188,5.90%,22.30%,0.256,39.50%,123
201,2025,Diego Munoz,DSL,17,150,24.70%,15.30%,0.079,36.40%,123
202,2025,Jancel Villarroel,A,20,372,11.30%,17.20%,0.127,42.40%,123
203,2025,Nelson Rada,AA,19,388,11.60%,21.10%,0.055,54.50%,123
204,2025,Andrew Jenkins,A+,24,398,8.30%,23.40%,0.151,43.90%,123
205,2025,Michael Stefanic,AAA,29,442,13.30%,10.00%,0.096,49.80%,122
206,2025,Homer Bush Jr.,AA,23,546,8.80%,17.90%,0.059,53.80%,122
207,2025,Pascual Archila,DSL,18,232,21.60%,22.40%,0.105,34.50%,122
208,2025,Shay Whitcomb,AAA,26,469,11.10%,25.60%,0.242,37.30%,122
209,2025,Derek Datil,CPX,19,203,16.30%,16.30%,0.075,55.10%,122
210,2025,Samuel Zavala,A+,20,486,13.40%,21.40%,0.117,42.40%,122
211,2025,Sam Kulasingam,A+,23,547,11.50%,15.70%,0.103,52.30%,122
212,2025,Ichiro Cano,CPX,20,167,20.40%,25.10%,0.115,42.50%,122
213,2025,Jesús Made,A,18,378,14.00%,20.60%,0.121,46.60%,122
214,2025,Charlie Szykowny,A+,25,549,5.30%,18.60%,0.202,37.80%,122
215,2025,Bob Seymour,AAA,26,443,8.60%,25.70%,0.29,41.20%,122
216,2025,Émilien Pitre,A+,22,524,11.60%,20.40%,0.125,45.30%,122
217,2025,Pedro Ramírez,AA,21,563,8.20%,15.10%,0.106,49.00%,122
218,2025,Jhonny Level,CPX,18,261,12.60%,15.30%,0.205,45.80%,121
219,2025,Javier Rivas,A+,22,389,4.90%,23.70%,0.195,49.20%,121
220,2025,Santiago Martinez,DSL,17,168,23.20%,16.10%,0.033,51.20%,121
221,2025,Cristian Santana,A,21,394,19.30%,24.90%,0.192,20.60%,121
222,2025,TJ Rumfield,AAA,25,587,11.90%,18.40%,0.162,35.70%,121
223,2025,Moisés Ballesteros,AAA,21,509,9.60%,13.20%,0.157,49.60%,121
224,2025,Blake Dunn,AAA,26,422,12.80%,24.20%,0.11,49.60%,121
225,2025,Tommy Troy,AA,23,399,12.30%,17.50%,0.175,41.60%,121
226,2025,Eduardo Rojas,DSL,18,151,20.50%,9.90%,0.07,49.50%,121
227,2025,Angel Garcia,DSL,18,154,7.80%,18.20%,0.125,42.40%,121
228,2025,Sir Jamison Jones,CPX,19,153,17.00%,24.80%,0.15,48.10%,121
229,2025,Chase Harlan,CPX,18,177,10.20%,19.80%,0.212,40.70%,121
230,2025,Cristofer Lebrón,DSL,18,194,14.90%,20.10%,0.151,24.10%,121
231,2025,Anderson De Los Santos,A+,21,381,14.40%,21.80%,0.131,42.70%,121
232,2025,Warel Solano,DSL,17,207,9.20%,16.40%,0.099,45.20%,121
233,2025,LuJames Groover,AA,23,547,11.50%,14.40%,0.126,42.30%,120
234,2025,Hyun Seung Lee,DSL,17,176,21.60%,18.20%,0.113,42.50%,120
235,2025,Giomar Ubiera,DSL,17,159,23.90%,23.90%,0.115,34.70%,120
236,2025,Anthony Marquez,DSL,18,221,18.60%,14.00%,0.086,41.40%,120
237,2025,Harold Coll,A,23,493,12.60%,24.30%,0.146,39.90%,120
238,2025,Marcos Castañon,AA,26,431,7.70%,21.80%,0.156,41.00%,120
239,2025,Yeremy Cabrera,A,19,451,11.50%,19.10%,0.11,39.30%,120
240,2025,Jhomnardo Reyes,DSL,17,207,11.60%,28.50%,0.177,38.00%,120
241,2025,Leo De Vries,A+,18,368,14.10%,19.60%,0.165,32.90%,120
242,2025,Carlos Concepcion,DSL,19,196,10.70%,27.00%,0.215,33.30%,120
243,2025,Ralphy Velazquez,A+,20,418,9.60%,20.30%,0.224,35.20%,120
244,2025,Nick Morabito,AA,22,492,9.60%,23.40%,0.112,53.90%,120
245,2025,Matt Halbach,A,22,436,10.80%,20.60%,0.136,42.30%,120
246,2025,Enrique Jimenez,CPX,19,192,12.00%,21.90%,0.19,39.20%,120
247,2025,Andres Torres,DSL,18,192,17.70%,12.50%,0.056,45.60%,119
248,2025,Cutter Coffey,A+,21,440,10.70%,22.70%,0.154,39.60%,119
249,2025,Allan Castro,AA,22,388,11.30%,20.40%,0.132,36.90%,119
250,2025,Abimelec Ortiz,AA,23,391,11.30%,22.30%,0.197,35.80%,119
251,2025,Luis De Leon,CPX,19,243,15.60%,23.00%,0.066,53.00%,119
252,2025,Heriberto Rincon,DSL,19,206,9.20%,14.60%,0.124,47.80%,119
253,2025,Brandon Butterworth,A+,22,377,6.90%,20.70%,0.188,40.20%,119
254,2025,Tyler Hardman,AA,26,453,8.40%,31.60%,0.23,29.90%,119
255,2025,Aaron Pinero,DSL,18,179,13.40%,16.80%,0.121,42.30%,119
256,2025,Angel Abreu,DSL,16,209,15.80%,9.60%,0.064,59.30%,119
257,2025,Sean Keys,A+,22,529,16.30%,22.10%,0.191,38.80%,119
258,2025,Carlos Jimenez,A,22,489,12.30%,23.70%,0.16,39.40%,118
259,2025,Diego Tornes,DSL,16,147,15.60%,21.80%,0.123,40.50%,118
260,2025,Aaron Zavala,AA,25,471,14.00%,29.50%,0.175,36.70%,118
261,2025,Chris Newell,AA,24,549,13.70%,30.60%,0.187,37.80%,118
262,2025,Robert Perez,DSL,21,153,11.80%,31.40%,0.258,33.80%,118
263,2025,Lamar King Jr.,A,21,359,10.60%,18.90%,0.122,39.50%,118
264,2025,Eduardo Garcia,A+,22,411,10.00%,26.00%,0.183,34.00%,118
265,2025,Creed Willems,AA,22,434,8.80%,19.10%,0.187,34.00%,118
266,2025,Hector Ramos,DSL,17,151,15.20%,21.20%,0.189,30.90%,118
267,2025,Termarr Johnson,AA,21,503,11.70%,18.50%,0.111,46.70%,118
268,2025,Nick Goodwin,A+,23,385,13.50%,17.90%,0.159,37.30%,118
269,2025,Sterlin Thompson,AAA,24,513,10.30%,20.90%,0.223,46.70%,118
270,2025,Frank Mieses,DSL,17,161,13.70%,24.20%,0.131,45.30%,118
271,2025,Vimael Machín,AAA,31,505,8.70%,17.80%,0.189,41.50%,118
272,2025,Yojanser Calzado,DSL,18,171,18.10%,19.90%,0.066,49.40%,118
273,2025,Brice Matthews,AAA,23,498,14.10%,27.90%,0.198,43.00%,118
274,2025,Corey Julks,AAA,29,487,9.90%,20.30%,0.177,39.20%,118
275,2025,Christian Olivo,A,21,348,13.50%,18.40%,0.097,32.70%,118
276,2025,John Gil,A,19,462,12.30%,13.90%,0.12,47.40%,118
277,2025,Moises Valdez,DSL,19,243,11.50%,15.20%,0.113,57.40%,118
278,2025,Dervy Ventura,A,21,440,14.80%,21.80%,0.087,44.60%,117
279,2025,Haritzon Castillo,DSL,17,167,14.40%,13.20%,0.145,42.50%,117
280,2025,Handelfry Encarnacion,CPX,18,214,8.90%,15.40%,0.174,43.00%,117
281,2025,Eric Bitonti,A,19,505,13.10%,33.50%,0.182,32.60%,117
282,2025,Kehden Hettiger,A+,21,355,12.40%,29.30%,0.157,29.90%,117
283,2025,Jayden Felicia,DSL,19,164,23.80%,22.60%,0.089,48.20%,117
284,2025,Anthony Santa Cruz de Oviedo,DSL,18,210,13.80%,16.20%,0.131,44.30%,117
285,2025,Robert Arias,CPX,18,198,14.60%,11.10%,0.116,52.50%,116
286,2025,Jake Gelof,A+,23,362,12.20%,26.50%,0.23,35.90%,116
287,2025,German Ramirez,CPX,18,191,10.50%,21.50%,0.172,44.10%,116
288,2025,Yonathan Perlaza,AAA,26,624,11.90%,20.00%,0.203,50.80%,116
289,2025,César Prieto,AAA,26,515,7.60%,13.60%,0.152,43.60%,116
290,2025,Anibal Salas,CPX,19,182,12.60%,26.90%,0.166,47.50%,116
291,2025,Angel Cepeda,A,19,433,9.20%,31.40%,0.126,46.30%,116
292,2025,Hunter Fitz-Gerald,AA,24,399,9.30%,28.30%,0.14,50.20%,116
293,2025,Luis Lara,AA,20,612,14.10%,16.20%,0.086,50.90%,116
294,2025,Jordan Nwogu,AA,26,368,7.10%,25.00%,0.068,42.60%,116
295,2025,Yordani Soto,DSL,16,156,17.90%,19.90%,0.089,51.90%,116
296,2025,Brett Bateman,AA,23,396,15.40%,20.70%,0.046,51.00%,116
297,2025,Manuel Campos,DSL,17,218,9.20%,14.20%,0.089,43.20%,116
298,2025,Angel Mateo,A,20,388,7.20%,18.30%,0.101,44.40%,116
299,2025,Stiven Marinez,DSL,17,205,20.00%,22.40%,0.1,46.10%,116
300,2025,Trevor Hauver,AAA,26,440,15.20%,24.10%,0.171,41.90%,116
301,2025,Mac Horvath,A+,23,453,13.20%,21.00%,0.162,35.00%,116
302,2025,Esteban González,A+,22,447,7.40%,21.70%,0.158,42.40%,116
303,2025,Coby Morales,A+,23,382,9.70%,24.10%,0.133,39.40%,115
304,2025,Yensi De La Cruz,DSL,18,217,12.90%,18.00%,0.177,35.60%,115
305,2025,Lucas Ramirez,CPX,19,191,12.00%,20.40%,0.172,50.00%,115
306,2025,Cristofer Torin,A+,20,544,12.10%,14.30%,0.099,45.80%,115
307,2025,Steven Cruz,DSL,18,154,23.40%,14.90%,0.08,32.60%,115
308,2025,Nick Sogard,AAA,27,409,15.60%,17.80%,0.109,38.30%,115
